idx,file_name,dt_s,peak_rss_kb,variant
488,2004.02.15.19.52.39,0.001559,0,baseline
492,2004.02.15.20.32.39,0.001350,0,baseline
496,2004.02.15.21.12.39,0.001308,0,baseline
500,2004.02.15.21.52.39,0.001319,0,baseline
504,2004.02.15.22.32.39,0.001357,0,baseline
508,2004.02.15.23.12.39,0.001330,0,baseline
512,2004.02.15.23.52.39,0.001351,0,baseline
516,2004.02.16.00.32.39,0.001363,0,baseline
520,2004.02.16.01.12.39,0.001361,0,baseline
524,2004.02.16.01.52.39,0.001290,0,baseline
528,2004.02.16.02.32.39,0.001433,0,baseline
532,2004.02.16.03.12.39,0.001372,0,baseline
536,2004.02.16.03.52.39,0.001320,0,baseline
540,2004.02.16.04.32.39,0.001350,0,baseline
544,2004.02.16.05.12.39,0.001344,0,baseline
548,2004.02.16.05.52.39,0.001352,0,baseline
552,2004.02.16.06.32.39,0.001320,0,baseline
556,2004.02.16.07.12.39,0.001337,0,baseline
560,2004.02.16.07.52.39,0.001326,0,baseline
564,2004.02.16.08.32.39,0.001346,0,baseline
568,2004.02.16.09.12.39,0.001303,0,baseline
572,2004.02.16.09.52.39,0.001354,0,baseline
576,2004.02.16.10.32.39,0.001372,0,baseline
580,2004.02.16.11.12.39,0.001339,0,baseline
584,2004.02.16.11.52.39,0.001551,0,baseline
588,2004.02.16.12.32.39,0.001343,0,baseline
592,2004.02.16.13.12.39,0.001356,0,baseline
596,2004.02.16.13.52.39,0.001379,0,baseline
600,2004.02.16.14.32.39,0.001388,0,baseline
604,2004.02.16.15.12.39,0.001534,0,baseline
608,2004.02.16.15.52.39,0.001358,0,baseline
612,2004.02.16.16.32.39,0.001728,0,baseline
616,2004.02.16.17.12.39,0.001361,0,baseline
620,2004.02.16.17.52.39,0.001332,0,baseline
624,2004.02.16.18.32.39,0.001368,0,baseline
628,2004.02.16.19.12.39,0.001666,0,baseline
632,2004.02.16.19.52.39,0.001346,0,baseline
636,2004.02.16.20.32.39,0.001349,0,baseline
640,2004.02.16.21.12.39,0.001341,0,baseline
644,2004.02.16.21.52.39,0.001718,0,baseline
648,2004.02.16.22.32.39,0.001333,0,baseline
652,2004.02.16.23.12.39,0.001329,0,baseline
656,2004.02.16.23.52.39,0.001351,0,baseline
660,2004.02.17.00.32.39,0.001356,0,baseline
664,2004.02.17.01.12.39,0.001333,0,baseline
668,2004.02.17.01.52.39,0.001352,0,baseline
672,2004.02.17.02.32.39,0.001435,0,baseline
676,2004.02.17.03.12.39,0.001344,0,baseline
680,2004.02.17.03.52.39,0.001350,0,baseline
684,2004.02.17.04.32.39,0.001335,0,baseline
688,2004.02.17.05.12.39,0.001345,0,baseline
692,2004.02.17.05.52.39,0.001339,0,baseline
696,2004.02.17.06.32.39,0.001302,0,baseline
700,2004.02.17.07.12.39,0.001552,0,baseline
704,2004.02.17.07.52.39,0.001438,0,baseline
708,2004.02.17.08.32.39,0.001358,0,baseline
712,2004.02.17.09.12.39,0.001341,0,baseline
716,2004.02.17.09.52.39,0.001338,0,baseline
720,2004.02.17.10.32.39,0.001353,0,baseline
724,2004.02.17.11.12.39,0.001308,0,baseline
728,2004.02.17.11.52.39,0.001349,0,baseline
732,2004.02.17.12.32.39,0.001327,0,baseline
736,2004.02.17.13.12.39,0.001434,0,baseline
740,2004.02.17.13.52.39,0.001341,0,baseline
744,2004.02.17.14.32.39,0.001440,0,baseline
748,2004.02.17.15.12.39,0.001330,0,baseline
752,2004.02.17.15.52.39,0.001351,0,baseline
756,2004.02.17.16.32.39,0.001327,0,baseline
760,2004.02.17.17.12.39,0.001374,0,baseline
764,2004.02.17.17.52.39,0.001322,0,baseline
768,2004.02.17.18.32.39,0.001347,0,baseline
772,2004.02.17.19.12.39,0.001315,0,baseline
776,2004.02.17.19.52.39,0.001668,0,baseline
780,2004.02.17.20.32.39,0.001351,0,baseline
784,2004.02.17.21.12.39,0.001383,0,baseline
788,2004.02.17.21.52.39,0.001364,0,baseline
792,2004.02.17.22.32.39,0.001366,0,baseline
796,2004.02.17.23.12.39,0.001326,0,baseline
800,2004.02.17.23.52.39,0.001350,0,baseline
804,2004.02.18.00.32.39,0.001465,0,baseline
808,2004.02.18.01.12.39,0.001639,0,baseline
812,2004.02.18.01.52.39,0.001378,0,baseline
816,2004.02.18.02.32.39,0.001340,0,baseline
820,2004.02.18.03.12.39,0.001438,0,baseline
824,2004.02.18.03.52.39,0.001369,0,baseline
828,2004.02.18.04.32.39,0.001340,0,baseline
832,2004.02.18.05.12.39,0.001305,0,baseline
836,2004.02.18.05.52.39,0.001376,0,baseline
840,2004.02.18.06.32.39,0.001378,0,baseline
844,2004.02.18.07.12.39,0.001338,0,baseline
848,2004.02.18.07.52.39,0.001352,0,baseline
852,2004.02.18.08.32.39,0.001316,0,baseline
856,2004.02.18.09.12.39,0.001330,0,baseline
860,2004.02.18.09.52.39,0.001628,0,baseline
864,2004.02.18.10.32.39,0.001327,0,baseline
868,2004.02.18.11.12.39,0.001367,0,baseline
872,2004.02.18.11.52.39,0.001328,0,baseline
876,2004.02.18.12.32.39,0.001375,0,baseline
880,2004.02.18.13.12.39,0.001327,0,baseline
884,2004.02.18.13.52.39,0.001342,0,baseline
888,2004.02.18.14.32.39,0.001334,0,baseline
892,2004.02.18.15.12.39,0.001324,0,baseline
896,2004.02.18.15.52.39,0.001350,0,baseline
900,2004.02.18.16.32.39,0.001402,0,baseline
904,2004.02.18.17.12.39,0.001393,0,baseline
908,2004.02.18.17.52.39,0.001530,0,baseline
912,2004.02.18.18.32.39,0.001518,0,baseline
916,2004.02.18.19.12.39,0.001954,0,baseline
920,2004.02.18.19.52.39,0.001840,0,baseline
924,2004.02.18.20.32.39,0.001406,0,baseline
928,2004.02.18.21.12.39,0.001418,0,baseline
932,2004.02.18.21.52.39,0.001387,0,baseline
936,2004.02.18.22.32.39,0.002008,0,baseline
940,2004.02.18.23.12.39,0.001406,0,baseline
944,2004.02.18.23.52.39,0.001511,0,baseline
948,2004.02.19.00.32.39,0.001450,0,baseline
952,2004.02.19.01.12.39,0.001468,0,baseline
956,2004.02.19.01.52.39,0.001402,0,baseline
960,2004.02.19.02.32.39,0.001758,0,baseline
964,2004.02.19.03.12.39,0.001364,0,baseline
968,2004.02.19.03.52.39,0.001335,0,baseline
972,2004.02.19.04.32.39,0.001367,0,baseline
976,2004.02.19.05.12.39,0.001376,0,baseline
980,2004.02.19.05.52.39,0.001313,0,baseline
